Geneid,Length,Ensembl,symbol,entrezid,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000123179.14,1560,ENSG00000123179,EBPL,84650,-0.32749993986325787,4.074013267942362,-3.30933389690465,0.004856126422595752,0.22052739668910867,-2.031927714878319
ENSG00000187210.14,9251,ENSG00000187210,GCNT1,2650,0.356652934719202,6.6122075846646595,3.397956653798306,0.004054064464390121,0.21242863383853539,-2.035164155655451
ENSG00000033170.17,6976,ENSG00000033170,FUT8,2530,0.24092249222346407,5.413143897125813,3.374958524524403,0.0042485287450491046,0.21492853520902563,-2.036267069785815
ENSG00000138821.13,6480,ENSG00000138821,SLC39A8,64116,0.35667570938970705,4.60131264861621,3.3384158288751866,0.004576851486486028,0.21695971176123954,-2.0409407177141468
ENSG00000115423.19,13514,ENSG00000115423,DNAH6,1768,-0.45920445114585107,4.22362563781362,-3.2864122778907756,0.005088153255463402,0.22150663048944155,-2.0423102354001657
ENSG00000173930.9,5069,ENSG00000173930,SLCO4C1,353189,0.7520566934664088,3.389383764810769,3.262839920716608,0.005575769575175053,0.22621185666273874,-2.0462424166675808
ENSG00000120539.15,4660,ENSG00000120539,MASTL,84930,0.4086328034128508,4.94787457392183,3.344307192777418,0.004522257483303998,0.21671607252468117,-2.049547900459877
ENSG00000184434.8,3588,ENSG00000184434,LRRC19,64922,1.8343734832782532,2.3334978319857664,3.394468825319065,0.005213726917481696,0.22468178726211524,-2.050118960620527
ENSG00000114107.9,4409,ENSG00000114107,CEP70,80321,0.33359799440441584,5.858365482228784,3.361753754862858,0.004364364700484178,0.21592479198165423,-2.0523545881149303
ENSG00000100243.21,5797,ENSG00000100243,CYB5R3,1727,-0.3703429699191556,6.984301428146827,-3.389369375856041,0.00413513869448016,0.21242863383853539,-2.0534359063072873
ENSG00000105967.16,8644,ENSG00000105967,TFEC,22797,0.9627588232422766,3.6620438167269023,3.328802233791137,0.005695599750072768,0.2285203172450826,-2.0557247716086864
ENSG00000141698.17,2851,ENSG00000141698,NT5C3B,115024,-0.41384951764243105,4.775310521091498,-3.310767465706906,0.004841970173621986,0.22052739668910867,-2.0616952631167482
ENSG00000125347.14,7778,ENSG00000125347,IRF1,3659,0.5876338751275654,5.223133821152815,3.3460359703927844,0.0050018527210745015,0.2210682272561285,-2.062178897836949
ENSG00000167904.15,8574,ENSG00000167904,TMEM68,137695,0.2953735605967367,3.6287691772096773,3.291113315896999,0.005039683600219646,0.22150663048944155,-2.0633269969284482
ENSG00000117592.9,2311,ENSG00000117592,PRDX6,9588,-0.22848931252088178,7.647199167539707,-3.3770479092861208,0.004230483441271512,0.2148649109715638,-2.064244498449966
ENSG00000124181.14,9648,ENSG00000124181,PLCG1,5335,-0.2621040025784147,5.475046036190846,-3.3496345911552394,0.0044734490546033505,0.21671607252468117,-2.0649433407015234
ENSG00000204177.10,4561,ENSG00000204177,BMS1P1,399761,0.3256481697157412,3.873488222681389,3.2550242427762752,0.005423878918293553,0.22621185666273874,-2.0829560693223925
ENSG00000179914.5,1492,ENSG00000179914,ITLN1,55600,1.6507128402542781,1.7894679028127771,3.3315091610367507,0.005908388866063997,0.23045691212323835,-2.0841369331637387
ENSG00000165475.15,4327,ENSG00000165475,CRYL1,51084,0.47731308684079377,3.8483430769809446,3.238299607180155,0.0056116667504809365,0.22657325785301421,-2.087649245661572
ENSG00000118503.15,5025,ENSG00000118503,TNFAIP3,7128,0.4950626515782588,7.23068382077961,3.3833728943022328,0.004649006796445994,0.21875969848423632,-2.100296290299581
ENSG00000145384.4,2226,ENSG00000145384,FABP2,2169,2.3528405377537256,2.320043400355078,3.385437438511563,0.005472024091428312,0.22621185666273874,-2.1014481561314433
ENSG00000163577.8,5541,ENSG00000163577,EIF5A2,56648,0.8615303071780942,1.9579814118536674,3.2438440786332667,0.005548707139016062,0.22621185666273874,-2.1040470469901944
ENSG00000155666.12,4026,ENSG00000155666,KDM8,79831,0.6256755092750683,1.7357467241328774,3.224744836587541,0.005768590249294587,0.23045691212323835,-2.1117970182171897
ENSG00000127989.14,4872,ENSG00000127989,MTERF1,7978,0.31016520045527063,3.9949184284112382,3.270938863021849,0.0052509905681364525,0.22538817168382513,-2.1127131469847917
